,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
19,19,addr_state:IL_CT,0.2599006644257251,5.675630350820544e-19,addr_state,20.051822193403254,20.0,-0.05182219340325389,20.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.31856448961594164,5.118677363644224e-25,addr_state,24.57784598983446,25.0,0.42215401016553855,25.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.5219647552958793,1.0716811294991876e-22,addr_state,40.27055678192505,40.0,-0.27055678192505184,40.0
22,22,verification_status:Not Verified,0.08571962166008588,4.3760062425405945e-09,verification_status,6.6134290799593245,7.0,0.3865709200406755,7.0
23,23,verification_status:Source Verified,-0.011184259035154012,0.40498568797217904,verification_status,-0.8628864956286516,-1.0,-0.1371135043713484,-1.0
24,24,purpose:credit_card,0.30185511079305916,1.2550548827459273e-26,purpose,23.288686172336533,23.0,-0.2886861723365328,23.0
25,25,purpose:debt_consolidation,0.19808542084130945,2.5033607785382504e-14,purpose,15.282660575692798,15.0,-0.28266057569279823,15.0
26,26,purpose:oth__med__vacation,0.2128260526448272,7.727278859675974e-12,purpose,16.419927879705533,16.0,-0.4199278797055328,16.0
27,27,purpose:major_purch__car__home_impr,0.26626220777674425,1.473336725177e-17,purpose,20.542627157030875,21.0,0.45737284296912506,21.0
28,28,initial_list_status:w,0.05382750274675968,3.738469186987511e-05,initial_list_status,4.152892477508098,4.0,-0.15289247750809842,4.0
29,29,term:36,0.07894275003643293,1.630602723497328e-08,term,6.09058076356403,6.0,-0.09058076356402989,6.0
30,30,emp_length:1,0.09915714566323047,0.00013146249570785093,emp_length,7.650159180769232,8.0,0.34984081923076804,8.0
31,31,emp_length:2-4,0.1258521859733039,2.596187716255311e-11,emp_length,9.709731452067903,10.0,0.2902685479320972,10.0
32,32,emp_length:5-6,0.09109171155347173,2.0817272338932497e-05,emp_length,7.027895859362023,7.0,-0.027895859362023323,7.0
33,33,emp_length:7-9,0.061143351347803986,0.003286838914578978,emp_length,4.71732387542752,5.0,0.2826761245724798,5.0
34,34,emp_length:10,0.12504343152392183,1.1791967698590448e-11,emp_length,9.647334534180196,10.0,0.35266546581980407,10.0
35,35,mths_since_issue_d:<38,1.0842038922280322,4.7642082148958164e-181,mths_since_issue_d,83.64835740758646,84.0,0.35164259241354046,84.0
36,36,mths_since_issue_d:38-39,0.8791916313399134,1.0325417302861006e-149,mths_since_issue_d,67.83127817125781,68.0,0.16872182874219277,68.0
37,37,mths_since_issue_d:40-41,0.7782497096892791,5.6703964822418425e-124,mths_since_issue_d,60.04342018608746,60.0,-0.043420186087459456,60.0
38,38,mths_since_issue_d:42-48,0.5771578568892196,1.087927031488847e-87,mths_since_issue_d,44.5288077636896,45.0,0.47119223631040086,45.0
39,39,mths_since_issue_d:49-52,0.4156844668243776,8.273529837532914e-41,mths_since_issue_d,32.07083381544841,32.0,-0.07083381544840961,32.0
40,40,mths_since_issue_d:53-64,0.16993402234561525,5.953483856271541e-09,mths_since_issue_d,13.110727547439149,13.0,-0.11072754743914892,13.0
41,41,mths_since_issue_d:65-84,-0.0717909831950526,0.014068539290900496,mths_since_issue_d,-5.538808580184258,-6.0,-0.46119141981574163,-6.0
42,42,int_rate:<9.548,0.883151716330692,3.5820356069685054e-31,int_rate,68.1368061324168,68.0,-0.13680613241679396,68.0
43,43,int_rate:9.548-12.025,0.5586642284140956,5.930226966458745e-36,int_rate,43.101989749532414,43.0,-0.10198974953241446,43.0
44,44,int_rate:12.025-15.74,0.3061322169528429,7.242719700680913e-17,int_rate,23.618672909414702,24.0,0.3813270905852981,24.0
45,45,int_rate:15.74-20.281,0.11316775346129149,9.362655020626251e-05,int_rate,8.731103767844404,9.0,0.2688962321555959,9.0
46,46,mths_since_earliest_cr_line:141-164,0.05577114875771457,0.024980135254171327,mths_since_earliest_cr_line,4.302848401263433,4.0,-0.30284840126343315,4.0
47,47,mths_since_earliest_cr_line:165-247,0.03716154203061449,0.06425115097553362,mths_since_earliest_cr_line,2.8670824481232358,3.0,0.13291755187676424,3.0
48,48,mths_since_earliest_cr_line:248-270,0.07947862594360404,0.002454183503575016,mths_since_earliest_cr_line,6.131924591722632,6.0,-0.13192459172263238,6.0
49,49,mths_since_earliest_cr_line:271-352,0.1220413697107257,1.892439933827499e-07,mths_since_earliest_cr_line,9.415719852375418,9.0,-0.41571985237541753,9.0
50,50,mths_since_earliest_cr_line:>352,0.1293607897085131,1.0692576325268135e-06,mths_since_earliest_cr_line,9.980426790230965,10.0,0.019573209769035316,10.0
51,51,inq_last_6mths:0,0.6662714690434591,3.525559847810103e-14,inq_last_6mths,51.404089555973634,51.0,-0.40408955597363416,51.0
52,52,inq_last_6mths:1-2,0.5197666473854029,3.2461854046834893e-09,inq_last_6mths,40.10096864685746,40.0,-0.10096864685745999,40.0
53,53,inq_last_6mths:3-6,0.3095471651355883,0.0004606472633296112,inq_last_6mths,23.882142546598587,24.0,0.11785745340141318,24.0
54,54,acc_now_delinq:>=1,0.1803631124126041,0.08868211807061305,acc_now_delinq,13.91535134524407,14.0,0.08464865475593086,14.0
55,55,annual_inc:20K-30K,-0.08151742619481961,0.05300505524634056,annual_inc,-6.289221843022748,-6.0,0.289221843022748,-6.0
56,56,annual_inc:30K-40K,-0.018919604883265856,0.64025794301664,annual_inc,-1.4596828904879875,-1.0,0.4596828904879875,-1.0
57,57,annual_inc:40K-50K,0.07568114224205623,0.06120821349855306,annual_inc,5.838941624041359,6.0,0.1610583759586408,6.0
58,58,annual_inc:50K-60K,0.14254888266357055,0.0004993796607761668,annual_inc,10.997912819322895,11.0,0.002087180677104783,11.0
59,59,annual_inc:60K-70K,0.2180964619196087,1.9087776223378436e-07,annual_inc,16.82654980927195,17.0,0.173450190728051,17.0
60,60,annual_inc:70K-80K,0.29154812070823044,8.742353965174462e-12,annual_inc,22.493482616444048,22.0,-0.493482616444048,22.0
61,61,annual_inc:80K-90K,0.3673906416848495,1.4591487265631974e-16,annual_inc,28.344874911584693,28.0,-0.34487491158469297,28.0
62,62,annual_inc:90K-100K,0.38719993709114103,4.204761947276444e-17,annual_inc,29.87319908936714,30.0,0.12680091063285914,30.0
63,63,annual_inc:100K-120K,0.4651035569022249,2.320180324977711e-24,annual_inc,35.88360901319695,36.0,0.11639098680304727,36.0
64,64,annual_inc:120K-140K,0.552376854714829,1.8587212071583786e-26,annual_inc,42.61690711321156,43.0,0.38309288678843956,43.0
65,65,annual_inc:>140K,0.49154766847775316,4.982635481137628e-25,annual_inc,37.92382166346721,38.0,0.07617833653279149,38.0
66,66,dti:<=1.4,0.2524631365054632,0.0024572590024794193,dti,19.478003008503926,19.0,-0.47800300850392574,19.0
67,67,dti:1.4-3.5,0.37154161583883033,1.1002268659831024e-07,dti,28.665130328587768,29.0,0.3348696714122319,29.0
68,68,dti:3.5-7.7,0.3844515487110569,1.759114820317081e-10,dti,29.661155787216938,30.0,0.3388442127830622,30.0
69,69,dti:7.7-10.5,0.3197184232077145,9.322379502113722e-08,dti,24.666874123934658,25.0,0.33312587606534194,25.0
70,70,dti:10.5-16.1,0.24114926709744125,3.079318451449329e-05,dti,18.60511683027765,19.0,0.39488316972234827,19.0
71,71,dti:16.1-20.3,0.1398449748395429,0.015811542833893282,dti,10.789301275237179,11.0,0.21069872476282114,11.0
72,72,dti:20.3-21.7,0.1274655498034454,0.03560689788638743,dti,9.834205488049106,10.0,0.16579451195089412,10.0
73,73,dti:21.7-22.4,0.09203640936281633,0.15509219366127086,dti,7.100781061642408,7.0,-0.10078106164240808,7.0
74,74,dti:22.4-35,0.05027197214758079,0.3800682442249741,dti,3.878576644051219,4.0,0.12142335594878118,4.0
75,75,mths_since_last_delinq:Missing,0.11041423390314167,0.03459297178645971,mths_since_last_delinq,8.518664585712736,9.0,0.4813354142872637,9.0
76,76,mths_since_last_delinq:4-30,0.13695369697358709,0.00947368970623681,mths_since_last_delinq,10.566233782093326,11.0,0.43376621790667436,11.0
77,77,mths_since_last_delinq:31-56,0.18309492042073122,0.0006154091984658714,mths_since_last_delinq,14.126115440697678,14.0,-0.12611544069767788,16.0
78,78,mths_since_last_delinq:>=57,0.13610539973972466,0.012897358406157718,mths_since_last_delinq,10.500786064450317,11.0,0.4992139355496832,11.0
79,79,mths_since_last_record:Missing,0.3208773768994976,7.94897700171722e-05,mths_since_last_record,24.756289568136665,25.0,0.24371043186333452,25.0
80,80,mths_since_last_record:3-20,0.44062493530349234,0.00033470851347497176,mths_since_last_record,33.995037589488035,34.0,0.0049624105119647766,34.0
81,81,mths_since_last_record:21-31,0.35071167066189274,0.0018323626820804342,mths_since_last_record,27.058061112704117,27.0,-0.058061112704116624,27.0
82,82,mths_since_last_record:32-80,0.5029589670025041,3.963575380923784e-09,mths_since_last_record,38.80422468021111,39.0,0.1957753197888934,39.0
83,83,mths_since_last_record:81-86,0.17583936090706875,0.08604597795087542,mths_since_last_record,13.566335458591503,14.0,0.433664541408497,14.0
84,84,mths_since_last_record:>86,0.2327104333176079,0.00570972621265006,mths_since_last_record,17.954045026183582,18.0,0.04595497381641778,18.0
85,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
86,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
87,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0,0.0,0.0
88,3,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
89,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,0.0,0.0,0.0,0.0
90,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
91,6,term:60,0.0,,term,0.0,0.0,0.0,0.0
92,7,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
93,8,mths_since_issue_d:>84,0.0,,mths_since_issue_d,0.0,0.0,0.0,0.0
94,9,int_rate:>20.281,0.0,,int_rate,0.0,0.0,0.0,0.0
95,10,mths_since_earliest_cr_line:<140,0.0,,mths_since_earliest_cr_line,0.0,0.0,0.0,0.0
96,11,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
97,12,acc_now_delinq:0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
98,13,annual_inc:<20K,0.0,,annual_inc,0.0,0.0,0.0,0.0
99,14,dti:>35,0.0,,dti,0.0,0.0,0.0,0.0
100,15,mths_since_last_delinq:0-3,0.0,,mths_since_last_delinq,0.0,0.0,0.0,0.0
101,16,mths_since_last_record:0-2,0.0,,mths_since_last_record,0.0,0.0,0.0,0.0
